role,n,k,prob,asymp.LCL,asymp.UCL,stem,role_lab
art_lead,942,905,0.9607218683651805,0.9457229410478709,0.9718204141648324,non-STEM,"Art Lead
(n = 942)"
communication_lead,426,379,0.8896713615023474,0.8550685194661669,0.9170376038736048,non-STEM,"Communication Lead
(n = 426)"
head_scientist,516,443,0.8585271317829457,0.8247555605716149,0.8868304479374911,STEM,"Head Scientist
(n = 516)"
mechanics_lead,942,890,0.9447983014861996,0.9277324607072227,0.9581208837103001,STEM,"Mechanics Lead
(n = 942)"
narrative_designer,516,464,0.8992248062015504,0.8691590483723797,0.9231723853400154,non-STEM,"Narrative Designer
(n = 516)"
project_manager,942,896,0.9511677282377919,0.9348805799184138,0.9636502992851966,non-STEM,"Project Manager
(n = 942)"
team_captain,942,936,0.9936305732484076,0.9854542286387518,0.9974081944913707,non-STEM,"Team Captain
(n = 942)"
