team_gender,team_size,role,prop_shared,n_teams_filled
only boys,3,art_lead,0.010309278350515464,97
only boys,3,communication_lead,0,50
only boys,3,head_scientist,0.045454545454545456,44
only boys,3,mechanics_lead,0.01020408163265306,98
only boys,3,narrative_designer,0.022727272727272728,44
only boys,3,project_manager,0.010526315789473684,95
only boys,3,team_captain,0.01,100
only boys,4,art_lead,0.047619047619047616,63
only boys,4,communication_lead,0.04,25
only boys,4,head_scientist,0,31
only boys,4,mechanics_lead,0.03225806451612903,62
only boys,4,narrative_designer,0,34
only boys,4,project_manager,0.01639344262295082,61
only boys,4,team_captain,0,66
only boys,5,art_lead,0.045454545454545456,22
only boys,5,communication_lead,0,12
only boys,5,head_scientist,0,11
only boys,5,mechanics_lead,0,23
only boys,5,narrative_designer,0.09090909090909091,11
only boys,5,project_manager,0,23
only boys,5,team_captain,0,23
only boys,6,art_lead,0.6666666666666666,3
only boys,6,communication_lead,0,1
only boys,6,head_scientist,0.5,2
only boys,6,mechanics_lead,0.3333333333333333,3
only boys,6,narrative_designer,1,2
only boys,6,project_manager,0.3333333333333333,3
only boys,6,team_captain,0.3333333333333333,3
mixed,3,art_lead,0,62
mixed,3,communication_lead,0.02564102564102564,39
mixed,3,head_scientist,0,18
mixed,3,mechanics_lead,0.03278688524590164,61
mixed,3,narrative_designer,0,16
mixed,3,project_manager,0,60
mixed,3,team_captain,0,64
mixed,4,art_lead,0.020833333333333332,96
mixed,4,communication_lead,0,34
mixed,4,head_scientist,0,52
mixed,4,mechanics_lead,0.052083333333333336,96
mixed,4,narrative_designer,0.038461538461538464,52
mixed,4,project_manager,0.010869565217391304,92
mixed,4,team_captain,0,98
mixed,5,art_lead,0.11578947368421053,95
mixed,5,communication_lead,0.03773584905660377,53
mixed,5,head_scientist,0.07894736842105263,38
mixed,5,mechanics_lead,0.0425531914893617,94
mixed,5,narrative_designer,0.10256410256410256,39
mixed,5,project_manager,0.031914893617021274,94
mixed,5,team_captain,0.031578947368421054,95
mixed,6,art_lead,0.07692307692307693,13
mixed,6,communication_lead,1,2
mixed,6,head_scientist,0,11
mixed,6,mechanics_lead,0.07692307692307693,13
mixed,6,narrative_designer,0.18181818181818182,11
mixed,6,project_manager,0,13
mixed,6,team_captain,0.07692307692307693,13
only girls,3,art_lead,0.075,40
only girls,3,communication_lead,0.13333333333333333,15
only girls,3,head_scientist,0,21
only girls,3,mechanics_lead,0.075,40
only girls,3,narrative_designer,0,23
only girls,3,project_manager,0.022727272727272728,44
only girls,3,team_captain,0.021739130434782608,46
only girls,4,art_lead,0.06521739130434782,46
only girls,4,communication_lead,0.05555555555555555,18
only girls,4,head_scientist,0.05263157894736842,19
only girls,4,mechanics_lead,0.022222222222222223,45
only girls,4,narrative_designer,0.041666666666666664,24
only girls,4,project_manager,0.021739130434782608,46
only girls,4,team_captain,0.020833333333333332,48
only girls,5,art_lead,0.16666666666666666,18
only girls,5,communication_lead,0,5
only girls,5,head_scientist,0,8
only girls,5,mechanics_lead,0.125,16
only girls,5,narrative_designer,0.09090909090909091,11
only girls,5,project_manager,0.058823529411764705,17
only girls,5,team_captain,0.058823529411764705,17
only girls,6,art_lead,0,1
only girls,6,communication_lead,0,1
only girls,6,mechanics_lead,0,1
only girls,6,project_manager,1,1
only girls,6,team_captain,0,1
