field,contrast,odds.ratio,p.value,p_holm,p_BH
Biological,only boys / mixed,0.8526393724022261,0.8060108252853706,1,0.9734058702627137
Biological,only boys / only girls,0.6730941227147635,0.36579697075937156,1,0.7838506516272248
Biological,mixed / only girls,0.7894241627833679,0.672451260510065,1,0.9734058702627137
Chemical,only boys / mixed,0.6852897870921073,0.309974768853188,1,0.7749369221329699
Chemical,only boys / only girls,0.9010849492196102,0.94051217992301,1,0.9734058702627137
Chemical,mixed / only girls,1.31489621790978,0.628537417437838,1,0.9734058702627137
Physical,only boys / mixed,1.6517453162136517,0.13095231690173892,1,0.39285695070521676
Physical,only boys / only girls,4.584232534713315,0.0014309685348073975,0.021464528022110962,0.021464528022110962
Physical,mixed / only girls,2.7753870343776104,0.05147631807263764,0.720668453016927,0.30130675021342285
Earth_and_Space,only boys / mixed,0.9516532700143795,0.9734058702627137,1,0.9734058702627137
Earth_and_Space,only boys / only girls,0.8444985510571769,0.8021564424499203,1,0.9734058702627137
Earth_and_Space,mixed / only girls,0.8874015123642842,0.8897239616934531,1,0.9734058702627137
DAT,only boys / mixed,2.279539935404126,0.07088456436359858,0.9214993367267815,0.30130675021342285
DAT,only boys / only girls,2.979451852845822,0.08034846672357943,0.9641816006829531,0.30130675021342285
DAT,mixed / only girls,1.3070408666991014,0.8673214123501487,1,0.9734058702627137
